Country,Region,Year,Crop_Type,Crop_Yield_Tonnes_per_Ha,Avg_Temperature_C,Annual_Rainfall_mm,Severe_Drought,Fertilizer_Usage_kg_ha,Pesticide_Usage_kg_ha,Food_Insecurity_Index
Canada,North America,2001,Potatoes,23.72,11.3,1251.5,No,45.7,3.32,20.4
Vietnam,Southeast Asia,2015,Cassava,15.5,20.62,1521.9,No,81.3,4.16,23.2
Germany,Europe,2004,Potatoes,23.01,11.86,624.6,No,73.8,2.69,20.5
Uganda,Sub-Saharan Africa,2021,Wheat,6.47,28.37,794.9,No,120.7,1.5,52.3
Sudan,Sub-Saharan Africa,2023,Cassava,16.07,26.46,981.9,No,115.2,4.45,62.6
Germany,Europe,2022,Wheat,5.0,14.54,938.1,No,67.8,1.14,28.0
Brazil,South America,2002,Rice,6.04,21.54,1493.2,No,119.5,6.45,27.8
Nigeria,Sub-Saharan Africa,2019,Cassava,15.68,28.43,1427.4,No,119.8,0.83,56.0
Vietnam,Southeast Asia,2023,Cassava,15.46,18.42,1571.2,No,89.7,3.35,22.9
Germany,Europe,2024,Cassava,15.62,15.47,1395.8,No,89.7,5.47,28.6
Canada,North America,2011,Wheat,4.57,14.91,723.9,No,38.4,3.9,24.7
France,Europe,2004,Rice,4.68,15.97,805.8,No,52.5,4.37,21.5
Turkey,Middle East & North Africa,2011,Potatoes,23.85,23.67,563.9,No,85.4,3.97,46.3
Nigeria,Sub-Saharan Africa,2002,Cassava,17.9,26.79,844.8,No,214.8,3.15,54.7
Pakistan,South Asia,2018,Cassava,15.18,23.99,1502.1,No,40.4,7.97,44.1
Bangladesh,South Asia,2006,Maize (Corn),7.03,19.58,1235.9,No,76.5,3.24,43.0
Indonesia,Southeast Asia,2000,Wheat,5.02,23.75,1580.2,No,76.1,2.03,24.7
Ukraine,Europe,2012,Soybeans,4.91,13.99,705.3,No,110.6,1.89,27.3
Germany,Europe,2003,Soybeans,4.14,15.41,1341.9,No,66.9,1.03,23.2
Bangladesh,South Asia,2017,Cassava,16.61,22.31,961.7,No,121.2,7.19,36.9
Ethiopia,Sub-Saharan Africa,2018,Cassava,16.98,27.05,975.0,No,131.3,2.44,60.0
Australia,Oceania,2020,Wheat,4.11,24.73,804.3,No,38.5,1.19,19.4
China,East Asia,2016,Maize (Corn),7.13,21.84,970.7,No,107.5,2.28,28.1
France,Europe,2016,Potatoes,24.53,14.16,673.4,No,95.9,10.31,24.7
Turkey,Middle East & North Africa,2015,Potatoes,25.21,21.32,626.6,No,174.6,2.18,32.7
Brazil,South America,2007,Wheat,7.06,19.75,755.5,No,191.4,1.09,26.4
India,South Asia,2022,Wheat,6.37,21.49,794.0,No,99.9,10.3,43.8
Bangladesh,South Asia,2002,Rice,5.88,23.54,714.9,No,104.7,3.04,36.0
South Africa,Sub-Saharan Africa,2006,Rice,4.88,28.69,1142.5,Yes,141.2,5.84,83.4
Sudan,Sub-Saharan Africa,2019,Soybeans,5.49,24.46,1388.7,No,187.5,0.38,54.6
Egypt,Middle East & North Africa,2023,Cassava,14.71,22.88,683.4,No,46.5,2.49,52.4
Ethiopia,Sub-Saharan Africa,2021,Cassava,15.71,24.52,975.2,No,119.3,0.65,61.0
Egypt,Middle East & North Africa,2020,Cassava,10.76,21.18,372.6,Yes,134.8,1.3,75.2
Argentina,South America,2021,Rice,6.49,22.21,999.6,No,120.8,0.8,17.3
Pakistan,South Asia,2021,Maize (Corn),4.98,26.59,873.9,Yes,127.0,1.36,63.3
Ukraine,Europe,2001,Maize (Corn),6.01,13.18,1524.6,No,46.9,0.94,37.2
United States,North America,2017,Maize (Corn),6.47,15.82,1193.1,No,40.6,3.86,27.9
Mexico,North America,2015,Soybeans,5.37,15.28,1102.6,No,148.2,3.72,11.5
Mexico,North America,2025,Maize (Corn),6.27,15.26,854.4,No,72.1,2.79,23.8
Mexico,North America,2006,Potatoes,23.44,15.04,896.7,No,89.9,5.15,28.6
Ukraine,Europe,2002,Rice,5.71,12.2,1269.5,No,99.3,2.17,28.3
France,Europe,2015,Wheat,4.14,16.42,900.9,No,23.8,1.11,19.8
United States,North America,2006,Maize (Corn),5.53,18.92,787.4,No,84.9,1.42,25.4
France,Europe,2017,Soybeans,4.75,11.2,648.2,No,126.0,1.13,16.7
Tanzania,Sub-Saharan Africa,2023,Cassava,13.74,31.08,784.0,No,116.3,2.91,57.6
Ethiopia,Sub-Saharan Africa,2025,Wheat,5.3,25.85,1247.3,No,70.8,6.0,58.9
Tanzania,Sub-Saharan Africa,2014,Potatoes,23.21,26.32,1231.4,No,65.7,0.75,58.2
Vietnam,Southeast Asia,2001,Maize (Corn),7.03,18.89,1085.7,No,58.0,4.5,18.4
Nigeria,Sub-Saharan Africa,2016,Potatoes,24.8,28.27,959.0,No,133.5,7.48,67.0
South Africa,Sub-Saharan Africa,2000,Soybeans,3.6,25.52,882.8,No,64.8,1.03,59.6
Nigeria,Sub-Saharan Africa,2012,Maize (Corn),6.98,26.18,986.7,No,62.3,5.37,63.2
Pakistan,South Asia,2012,Rice,6.13,22.82,961.6,No,129.4,0.86,41.4
Pakistan,South Asia,2008,Rice,5.97,22.15,1019.8,No,101.6,3.83,41.5
Turkey,Middle East & North Africa,2021,Soybeans,5.82,22.42,1061.7,No,202.6,1.7,36.4
India,South Asia,2014,Cassava,8.72,25.38,933.6,Yes,49.6,1.95,79.7
United States,North America,2011,Wheat,5.12,16.8,488.3,No,63.5,1.72,25.6
Kenya,Sub-Saharan Africa,2007,Maize (Corn),6.86,29.38,845.3,No,182.7,1.84,53.8
Tanzania,Sub-Saharan Africa,2025,Soybeans,4.59,28.69,1262.3,No,110.5,3.57,53.9
Thailand,Southeast Asia,2020,Cassava,15.38,20.22,1610.2,No,81.9,1.61,23.4
Indonesia,Southeast Asia,2012,Maize (Corn),7.07,18.12,1464.5,No,80.0,3.52,20.6
Bangladesh,South Asia,2000,Rice,5.23,19.94,730.9,No,56.4,2.67,47.0
China,East Asia,2022,Rice,6.29,24.0,1038.0,No,102.7,2.84,14.3
Kenya,Sub-Saharan Africa,2019,Rice,6.14,28.31,1212.4,No,98.4,1.76,65.6
Ethiopia,Sub-Saharan Africa,2009,Soybeans,4.85,25.12,1371.4,No,81.0,1.87,51.9
Ukraine,Europe,2022,Potatoes,23.4,11.23,809.3,No,116.9,2.46,25.2
Thailand,Southeast Asia,2006,Wheat,5.62,20.87,1672.8,No,74.0,2.41,14.3
Australia,Oceania,2003,Rice,5.14,25.72,541.8,No,118.3,1.71,21.1
Bangladesh,South Asia,2015,Soybeans,3.77,23.31,1365.0,No,19.9,5.57,36.7
Mexico,North America,2023,Cassava,15.48,14.67,1402.9,No,47.0,4.5,34.1
Brazil,South America,2022,Potatoes,19.42,25.65,561.0,No,28.9,2.15,21.2
Vietnam,Southeast Asia,2000,Soybeans,3.84,21.23,1214.5,No,39.0,0.91,26.5
Tanzania,Sub-Saharan Africa,2014,Soybeans,4.48,28.31,874.2,No,90.3,3.33,53.7
Australia,Oceania,2004,Maize (Corn),6.01,20.3,997.7,No,74.1,1.32,26.1
Tanzania,Sub-Saharan Africa,2017,Maize (Corn),7.02,27.4,1057.0,No,96.1,0.38,59.8
Indonesia,Southeast Asia,2014,Potatoes,23.74,21.1,1536.8,No,100.0,1.29,30.7
Bangladesh,South Asia,2011,Wheat,5.9,22.99,999.6,No,122.7,2.17,43.9
China,East Asia,2005,Rice,3.58,25.47,1150.6,Yes,82.5,1.96,54.1
Ukraine,Europe,2022,Wheat,5.31,14.63,1272.4,No,86.1,2.17,16.3
Australia,Oceania,2024,Maize (Corn),7.75,20.0,1215.9,No,95.1,8.93,29.0
Ethiopia,Sub-Saharan Africa,2020,Maize (Corn),6.2,28.06,964.8,No,45.2,5.14,69.9
South Africa,Sub-Saharan Africa,2013,Cassava,15.22,27.83,886.8,No,64.4,3.36,54.4
Mexico,North America,2002,Soybeans,4.69,12.31,742.8,No,107.7,2.9,15.7
Kenya,Sub-Saharan Africa,2006,Rice,5.23,26.35,1411.7,No,40.0,3.01,64.0
India,South Asia,2023,Soybeans,5.31,22.78,699.6,No,104.4,2.72,40.8
Tanzania,Sub-Saharan Africa,2024,Rice,3.46,29.05,639.0,Yes,81.2,1.56,79.0
France,Europe,2014,Potatoes,19.69,18.42,1075.7,No,71.6,2.01,31.6
Ethiopia,Sub-Saharan Africa,2012,Cassava,15.59,24.34,927.9,No,63.8,3.4,64.0
Pakistan,South Asia,2013,Soybeans,4.33,23.06,816.5,No,119.8,0.66,36.1
Ethiopia,Sub-Saharan Africa,2012,Soybeans,5.01,25.11,958.4,No,127.0,1.65,64.0
United States,North America,2005,Cassava,15.11,13.94,817.8,No,68.7,0.45,27.8
Mexico,North America,2022,Wheat,5.5,13.23,970.3,No,80.7,6.52,15.3
Bangladesh,South Asia,2004,Cassava,15.33,23.72,1141.0,No,51.8,4.22,45.4
Australia,Oceania,2005,Soybeans,3.92,21.68,848.0,No,41.4,1.05,22.9
Sudan,Sub-Saharan Africa,2003,Rice,7.25,26.78,1300.5,No,156.5,0.43,57.1
Tanzania,Sub-Saharan Africa,2013,Rice,5.32,27.54,1099.9,No,83.5,1.8,63.4
Canada,North America,2009,Rice,5.64,13.95,999.4,No,81.0,9.84,23.5
Uganda,Sub-Saharan Africa,2020,Potatoes,23.57,26.69,687.1,No,94.9,0.69,54.2
Argentina,South America,2017,Soybeans,5.08,23.99,835.3,No,158.8,0.63,17.3
Vietnam,Southeast Asia,2023,Rice,6.84,21.84,964.8,No,135.3,1.54,28.0
Bangladesh,South Asia,2004,Wheat,7.59,19.4,1178.1,No,231.2,3.59,42.5
United States,North America,2021,Maize (Corn),5.81,15.81,1139.8,No,20.2,1.71,28.2
Pakistan,South Asia,2000,Potatoes,23.44,23.68,826.6,No,117.3,1.01,40.3
Vietnam,Southeast Asia,2019,Potatoes,23.06,21.52,1285.4,No,49.4,4.12,31.4
Egypt,Middle East & North Africa,2016,Potatoes,17.72,24.7,319.8,Yes,76.8,0.67,65.6
China,East Asia,2021,Maize (Corn),6.15,25.18,1340.4,No,96.1,1.01,25.9
Uganda,Sub-Saharan Africa,2000,Maize (Corn),6.19,24.56,1274.7,No,46.9,1.22,56.1
Nigeria,Sub-Saharan Africa,2021,Potatoes,24.9,25.43,1169.9,No,162.2,3.83,53.6
Argentina,South America,2008,Wheat,5.89,22.27,1093.6,No,126.3,2.09,16.6
South Africa,Sub-Saharan Africa,2001,Soybeans,3.32,25.38,740.2,No,31.5,1.16,56.3
Argentina,South America,2023,Wheat,4.3,24.26,860.0,No,38.4,3.17,26.4
Vietnam,Southeast Asia,2021,Cassava,16.08,23.56,1237.2,No,121.0,1.77,33.6
India,South Asia,2021,Maize (Corn),4.81,26.1,1105.9,Yes,125.5,5.61,62.5
India,South Asia,2007,Soybeans,5.58,22.72,900.6,No,148.1,0.92,42.3
South Africa,Sub-Saharan Africa,2008,Potatoes,23.74,26.08,953.7,No,124.2,1.45,56.7
Sudan,Sub-Saharan Africa,2023,Cassava,15.5,24.99,951.5,No,49.1,6.46,54.2
Thailand,Southeast Asia,2009,Potatoes,26.43,19.61,1715.6,No,253.2,1.74,34.5
Brazil,South America,2023,Cassava,17.03,24.76,1098.1,No,162.3,2.59,21.1
Indonesia,Southeast Asia,2003,Potatoes,23.24,17.13,1600.2,No,60.0,1.91,19.4
Mexico,North America,2024,Maize (Corn),7.4,15.3,1094.2,No,54.1,7.47,21.6
Vietnam,Southeast Asia,2025,Wheat,4.49,20.74,1487.2,No,51.2,0.82,28.6
Turkey,Middle East & North Africa,2012,Maize (Corn),6.1,21.74,732.2,No,26.5,1.56,45.2
Brazil,South America,2006,Cassava,15.96,21.75,700.2,No,133.0,2.51,20.4
Argentina,South America,2015,Rice,6.34,20.68,465.9,No,127.7,1.84,19.5
Vietnam,Southeast Asia,2020,Wheat,5.46,18.44,1621.0,No,81.7,4.13,25.0
Pakistan,South Asia,2009,Potatoes,25.54,23.24,1088.8,No,236.6,2.42,46.0
Turkey,Middle East & North Africa,2018,Maize (Corn),7.04,22.86,687.0,No,80.4,1.42,39.5
Sudan,Sub-Saharan Africa,2016,Wheat,5.2,28.46,379.0,Yes,169.7,3.05,74.9
Thailand,Southeast Asia,2001,Wheat,5.56,24.98,1334.8,No,103.3,2.1,29.5
Pakistan,South Asia,2019,Potatoes,13.51,25.61,1018.7,Yes,114.6,1.23,82.4
China,East Asia,2023,Wheat,5.71,24.51,930.5,No,93.1,1.23,19.1
Germany,Europe,2023,Maize (Corn),5.02,17.21,773.2,No,45.5,4.93,33.8
Indonesia,Southeast Asia,2001,Soybeans,4.59,23.54,1293.1,No,115.8,2.16,18.6
Nigeria,Sub-Saharan Africa,2015,Soybeans,4.64,26.24,659.2,No,102.4,1.5,54.1
Ukraine,Europe,2020,Potatoes,23.63,13.14,1243.4,No,109.9,1.36,19.7
United States,North America,2008,Potatoes,23.76,14.62,1279.4,No,151.8,1.2,22.8
China,East Asia,2002,Cassava,15.66,22.21,1210.5,No,80.9,1.87,24.6
Germany,Europe,2025,Rice,6.46,12.94,1453.7,No,117.3,6.52,23.2
United States,North America,2014,Soybeans,4.33,15.07,885.3,No,74.3,3.78,31.4
Indonesia,Southeast Asia,2002,Potatoes,24.13,21.17,1761.0,No,103.2,3.25,27.4
Sudan,Sub-Saharan Africa,2001,Maize (Corn),5.02,22.97,380.8,Yes,149.4,2.86,81.0
Tanzania,Sub-Saharan Africa,2025,Cassava,17.45,27.97,1171.2,No,213.4,4.81,67.5
Tanzania,Sub-Saharan Africa,2020,Cassava,15.58,25.16,973.0,No,81.1,0.49,54.2
Brazil,South America,2003,Maize (Corn),7.78,19.96,631.7,No,98.4,5.46,19.2
Australia,Oceania,2004,Potatoes,23.89,20.71,771.1,No,89.7,6.98,27.0
Thailand,Southeast Asia,2013,Soybeans,5.64,23.44,1743.4,No,140.9,2.36,23.2
Brazil,South America,2003,Soybeans,3.34,21.66,349.3,Yes,99.7,3.42,45.5
Uganda,Sub-Saharan Africa,2016,Rice,6.72,26.83,832.6,No,107.1,2.27,51.8
Argentina,South America,2015,Maize (Corn),7.45,20.99,782.6,No,93.6,2.25,20.2
Turkey,Middle East & North Africa,2009,Cassava,15.45,23.04,554.9,No,85.2,1.45,32.8
Ethiopia,Sub-Saharan Africa,2010,Potatoes,23.86,26.28,802.4,No,65.9,6.19,53.0
India,South Asia,2025,Potatoes,23.52,23.26,796.3,No,108.9,1.54,42.5
Bangladesh,South Asia,2016,Soybeans,5.7,23.56,907.9,No,152.8,5.42,41.2
United States,North America,2005,Soybeans,3.29,14.31,763.8,No,68.1,0.61,28.4
Sudan,Sub-Saharan Africa,2005,Wheat,5.43,27.05,1161.4,No,64.7,7.39,62.7
China,East Asia,2002,Maize (Corn),7.56,18.81,776.7,No,153.6,0.52,30.3
Tanzania,Sub-Saharan Africa,2004,Soybeans,3.91,25.43,982.4,No,28.5,3.02,53.3
Vietnam,Southeast Asia,2016,Wheat,5.03,24.38,1803.9,No,62.5,1.69,23.4
Vietnam,Southeast Asia,2003,Potatoes,22.34,21.26,1371.4,No,35.9,2.33,26.6
Egypt,Middle East & North Africa,2025,Potatoes,22.38,20.88,774.2,No,41.4,2.05,38.8
Turkey,Middle East & North Africa,2001,Potatoes,24.23,22.3,470.9,No,147.2,1.58,43.8
Kenya,Sub-Saharan Africa,2011,Potatoes,24.07,24.06,992.7,No,108.1,5.52,62.3
France,Europe,2024,Cassava,16.04,16.5,902.5,No,97.0,6.06,33.4
Thailand,Southeast Asia,2014,Potatoes,12.41,25.37,1309.6,Yes,88.1,3.13,59.9
Brazil,South America,2010,Cassava,15.51,24.28,1109.9,No,28.1,1.52,31.5
Mexico,North America,2006,Soybeans,3.96,13.63,1241.5,No,121.4,2.26,32.4
Vietnam,Southeast Asia,2021,Maize (Corn),7.24,22.41,1959.9,No,72.3,3.5,30.6
United States,North America,2017,Maize (Corn),7.84,14.93,1188.3,No,117.4,3.62,26.5
Ethiopia,Sub-Saharan Africa,2003,Wheat,5.28,27.48,795.2,No,57.7,3.19,66.3
Ukraine,Europe,2001,Potatoes,23.73,15.45,1047.7,No,74.3,4.27,28.1
Tanzania,Sub-Saharan Africa,2001,Soybeans,4.92,24.68,1168.2,No,134.0,1.64,45.8
Ethiopia,Sub-Saharan Africa,2020,Cassava,16.19,26.56,1320.3,No,125.8,1.84,59.1
Canada,North America,2013,Rice,5.32,16.84,558.8,No,56.2,2.23,20.4
Argentina,South America,2017,Rice,6.19,25.48,1089.1,No,127.3,4.31,23.1
Bangladesh,South Asia,2005,Wheat,4.93,23.82,1156.3,No,82.0,1.35,39.2
Brazil,South America,2014,Rice,6.25,24.13,921.9,No,101.5,3.91,22.5
Uganda,Sub-Saharan Africa,2014,Rice,5.86,25.56,1080.6,No,97.2,1.41,56.8
Kenya,Sub-Saharan Africa,2009,Potatoes,23.81,25.85,949.1,No,90.2,1.24,65.2
Ethiopia,Sub-Saharan Africa,2006,Soybeans,4.71,27.38,836.7,No,77.2,6.1,59.1
India,South Asia,2012,Soybeans,4.42,22.34,1118.2,No,99.4,2.32,35.5
Vietnam,Southeast Asia,2012,Maize (Corn),6.74,22.76,964.0,No,83.8,2.82,28.1
Thailand,Southeast Asia,2023,Soybeans,5.49,18.58,1554.3,No,168.6,3.3,15.3
Kenya,Sub-Saharan Africa,2021,Maize (Corn),7.73,25.55,890.6,No,97.8,2.95,60.6
Pakistan,South Asia,2014,Soybeans,4.43,20.13,1080.0,No,41.0,7.77,41.0
China,East Asia,2012,Soybeans,5.27,22.75,906.0,No,118.5,6.78,13.7
Kenya,Sub-Saharan Africa,2024,Rice,6.08,25.85,1270.4,No,108.1,3.71,63.3
Vietnam,Southeast Asia,2016,Wheat,5.15,20.81,1362.1,No,66.1,3.41,25.3
Canada,North America,2008,Soybeans,3.68,14.68,677.7,No,39.7,2.33,20.8
Indonesia,Southeast Asia,2021,Cassava,17.65,23.24,1470.4,No,231.3,6.47,28.7
Kenya,Sub-Saharan Africa,2016,Wheat,5.71,26.56,842.7,No,95.4,3.78,65.1
Sudan,Sub-Saharan Africa,2021,Cassava,15.82,24.39,1083.8,No,61.7,4.19,57.8
Egypt,Middle East & North Africa,2003,Cassava,15.29,22.84,779.9,No,103.7,0.92,42.2
Egypt,Middle East & North Africa,2004,Soybeans,3.88,22.16,823.6,No,96.0,0.37,36.6
United States,North America,2012,Soybeans,6.52,13.01,948.2,No,228.7,3.84,9.9
Turkey,Middle East & North Africa,2012,Rice,5.24,21.72,701.6,No,50.2,0.69,34.4
Ethiopia,Sub-Saharan Africa,2025,Potatoes,24.66,27.06,678.6,No,116.2,4.06,63.0
Ukraine,Europe,2006,Soybeans,3.4,13.39,902.7,No,78.6,4.59,18.1
Germany,Europe,2013,Cassava,16.23,15.17,952.8,No,113.5,4.07,30.1
Egypt,Middle East & North Africa,2002,Soybeans,3.87,23.41,150.0,Yes,110.2,5.49,73.0
Thailand,Southeast Asia,2004,Cassava,15.71,23.7,1183.4,No,92.1,3.92,30.9
Brazil,South America,2004,Wheat,5.68,20.53,1097.8,No,70.8,5.93,20.2
Mexico,North America,2003,Cassava,15.27,12.64,1314.9,No,97.1,0.59,28.2
Ethiopia,Sub-Saharan Africa,2010,Wheat,6.36,25.38,868.8,No,99.7,9.15,61.2
Uganda,Sub-Saharan Africa,2003,Maize (Corn),7.14,26.68,937.8,No,82.0,3.48,54.5
China,East Asia,2008,Maize (Corn),8.09,24.02,810.4,No,146.9,1.1,22.2
United States,North America,2014,Rice,4.71,15.76,341.2,Yes,104.8,2.86,46.0
Germany,Europe,2024,Cassava,15.47,13.34,1522.5,No,85.7,7.71,26.5
Brazil,South America,2022,Soybeans,4.1,23.29,1191.9,No,84.7,1.73,15.5
Bangladesh,South Asia,2000,Soybeans,5.06,23.23,505.9,No,158.4,3.39,35.2
Thailand,Southeast Asia,2000,Maize (Corn),4.73,24.76,1266.0,Yes,86.8,0.6,55.0
Argentina,South America,2021,Maize (Corn),4.77,25.45,1056.1,Yes,111.9,2.31,49.5
France,Europe,2019,Rice,5.06,15.44,488.5,No,61.9,1.28,19.8
Egypt,Middle East & North Africa,2021,Cassava,16.81,21.03,671.4,No,192.3,1.13,43.1
Australia,Oceania,2021,Rice,5.2,21.26,1247.5,No,52.7,4.83,23.0
Thailand,Southeast Asia,2001,Soybeans,4.83,22.54,1274.1,No,122.8,2.36,24.5
Indonesia,Southeast Asia,2016,Cassava,13.82,25.27,1824.9,No,105.1,2.58,28.5
Ethiopia,Sub-Saharan Africa,2017,Rice,6.32,23.94,824.3,No,109.7,3.09,51.0
Nigeria,Sub-Saharan Africa,2015,Maize (Corn),7.22,25.36,888.4,No,114.7,4.04,49.0
France,Europe,2018,Cassava,15.13,12.68,493.1,No,108.3,2.5,23.9
Indonesia,Southeast Asia,2024,Maize (Corn),5.55,25.61,1613.3,Yes,143.5,1.97,63.2
Vietnam,Southeast Asia,2014,Potatoes,22.9,22.46,1280.2,No,94.4,0.56,30.4
Mexico,North America,2022,Wheat,6.66,14.85,1134.3,No,173.5,2.33,24.8
Mexico,North America,2018,Soybeans,3.93,16.44,867.2,No,97.7,1.66,15.9
Canada,North America,2012,Wheat,4.39,12.1,1087.2,No,52.1,2.18,23.8
Germany,Europe,2002,Potatoes,23.48,12.55,1027.1,No,80.0,0.35,25.0
Ethiopia,Sub-Saharan Africa,2014,Potatoes,23.42,26.49,703.0,No,76.4,3.66,59.7
Thailand,Southeast Asia,2000,Cassava,7.18,25.14,1152.9,Yes,107.5,0.55,57.9
Pakistan,South Asia,2018,Cassava,15.59,20.88,1249.7,No,91.7,1.44,45.4
Bangladesh,South Asia,2000,Rice,5.51,23.42,795.5,No,78.7,1.14,41.2
Pakistan,South Asia,2016,Rice,2.91,26.12,831.8,Yes,18.8,0.93,71.4
Mexico,North America,2020,Potatoes,24.53,13.42,1131.5,No,138.7,1.27,30.8
Ethiopia,Sub-Saharan Africa,2011,Maize (Corn),7.2,26.26,1224.1,No,108.5,1.64,52.5
Uganda,Sub-Saharan Africa,2018,Rice,5.03,26.61,725.7,No,46.6,1.58,58.3
Turkey,Middle East & North Africa,2017,Potatoes,22.87,24.8,900.0,No,33.5,1.82,38.2
Sudan,Sub-Saharan Africa,2003,Cassava,15.74,23.47,1390.4,No,124.4,2.13,59.7
Uganda,Sub-Saharan Africa,2007,Soybeans,5.33,29.0,1308.9,No,150.9,0.32,56.2
Pakistan,South Asia,2008,Soybeans,4.28,20.67,662.7,No,123.8,0.67,42.5
Australia,Oceania,2009,Cassava,16.02,23.1,762.8,No,165.9,0.6,30.3
Kenya,Sub-Saharan Africa,2011,Rice,5.83,26.95,1044.8,No,86.4,6.6,55.4
Indonesia,Southeast Asia,2014,Wheat,6.67,23.54,1730.0,No,161.4,4.11,25.0
Pakistan,South Asia,2009,Cassava,15.54,20.04,1211.1,No,66.3,3.67,38.8
